Code,Name,Sector,β,C,ADF,tc_days,tc_std,Iter_1%,Risk
300750,宁德时代,新能源科技,0.990,-0.664,-4.07***,252,29,100%,MODERATE
002475,立讯精密,消费电子,0.100,0.066,-3.84***,13,81,100%,MODERATE
002415,海康威视,安防/AI,0.713,0.950,-3.90***,252,34,90%,MODERATE
000725,京东方A,半导体显示,0.100,-0.111,-3.85***,1,8,100%,HIGH
000063,中兴通讯,通信设备,0.650,0.384,-4.06***,246,59,100%,HIGH
002230,科大讯飞,AI/语音,0.555,0.950,-3.35**,252,90,0%,WATCH
300059,东方财富,金融科技,0.417,0.522,-3.08**,164,46,0%,WATCH
300033,同花顺,金融科技/AI,0.469,-0.140,-3.08**,131,60,0%,WATCH
688981,中芯国际,半导体制造,0.478,-0.340,-3.25**,1,78,20%,WATCH
603986,兆易创新,半导体设计,0.590,0.571,-4.08***,252,2,100%,HIGH
300015,爱尔眼科,医疗服务科技,0.100,-0.950,-3.05**,252,N/A,0%,WATCH
002405,四维图新,导航/自动驾驶,0.100,0.950,-2.59*,66,65,0%,LOW
